Time;HCHO;NO2;MIXTURE
0;0.0028;0.0028;0.0028
0.1;0.00285;0.0028;0.0028
0.2;0.0029;0.0028;0.0028
0.5;0.003;0.0028;0.0028
0.7;0.0031;0.0026;0.0027
0.9;0.00315;0.0024;0.00222
1.0;0.00317;0.00216;0.00225
1.2;0.00319;0.00212;0.00225
1.4;0.00323;0.00198;0.0023
2.0;0.00328;0.0019;0.00223
2.5;0.00329;0.0018;0.0022
3.0;0.0033;0.00178;0.00219
3.5;0.0033;0.00175;0.00218
4.0;0.0033;0.0017;0.002175
4.5;0.0033;0.00169;0.00217
5.0;0.00331;0.00168;0.002165
5.5;0.00331;0.00167;0.00216
6.0;0.00332;0.00166;0.002158
6.5;0.00332;0.001655;0.002155
7.0;0.00332;0.001645;0.002154
7.5;0.00332;0.001645;0.00215
8.0;0.00332;0.00164;0.002145
8.5;0.00332;0.001635;0.002142
9.0;0.00332;0.001634;0.00214
9.5;0.00332;0.00163;0.002134
10.0;0.00332;0.001625;0.00213
10.5;0.00332;0.001622;0.002126
11.0;0.00332;0.00162;0.002124
11.5;0.00332;0.001615;0.00212
12.0;0.00332;0.001605;0.002105
12.5;0.00332;0.0016;0.0021
